FRAME	XCENTER	YCENTER	BRIGHTNESS	BG	I0	S_X	S_Y	THETA	ECC
1	30.682	50.405	27364.159	602.078	1485.972	 1.690	 1.735	 2.137	 0.226
1	69.648	220.614	377583.072	380.253	1138.117	 7.197	 7.337	 2.020	 0.195
1	69.883	218.845	983806.180	-262.178	1693.850	 8.709	10.615	 1.776	 0.572
1	69.226	218.349	336743.290	266.411	1223.065	 5.638	 7.773	 0.469	 0.688
1	121.164	335.566	58721.050	511.488	794.256	 3.011	 3.908	 1.655	 0.637
1	450.827	159.527	8370.825	581.852	1007.175	 1.008	 1.312	 1.263	 0.641
2	30.579	49.331	33137.830	620.630	2068.494	 1.571	 1.622	 2.508	 0.249
2	69.393	218.819	159289.353	533.699	1080.437	 4.481	 5.237	 0.550	 0.518
2	121.553	334.668	41673.316	655.242	1625.728	 1.928	 2.116	 0.881	 0.411
2	451.573	159.818	5435.630	578.687	963.676	 0.582	 1.541	 0.772	 0.926
3	33.016	50.664	31468.450	611.948	2025.336	 1.297	 1.907	 1.557	 0.733
3	69.207	218.262	152987.565	557.448	1292.242	 4.197	 4.489	 2.073	 0.355
3	121.088	334.023	54669.619	631.936	1789.733	 2.074	 2.344	 0.604	 0.466
3	450.836	160.060	5608.257	586.734	1171.211	 0.857	 0.890	 0.415	 0.270
4	31.451	50.055	28311.666	607.802	1750.290	 1.479	 1.740	 2.051	 0.526
4	69.537	218.557	266577.195	363.178	1242.666	 5.715	 5.974	 2.935	 0.291
4	121.425	333.875	60018.912	631.491	2060.600	 1.905	 2.434	 1.272	 0.623
4	451.360	160.083	6295.650	560.259	941.601	 0.815	 1.306	 2.235	 0.782
5	30.465	51.634	44464.303	609.329	1579.412	 1.851	 2.421	 3.095	 0.644
5	69.587	218.871	163777.897	614.827	985.687	 4.871	 5.429	 1.609	 0.441
5	69.457	218.804	212028.786	425.942	1212.809	 5.254	 5.296	 1.459	 0.125
5	121.167	334.264	51415.752	633.719	2296.872	 1.637	 2.176	 1.145	 0.659
5	347.150	104.326	5112.478	711.623	844.625	 0.840	 1.146	 0.937	 0.680
6	32.803	52.919	48841.940	586.049	1704.479	 1.815	 2.513	 1.161	 0.692
6	69.389	218.161	256141.465	291.750	1591.013	 4.780	 5.360	 0.900	 0.452
6	121.464	334.205	46874.598	607.173	1040.136	 2.405	 2.983	 1.613	 0.592
6	284.441	270.125	11034.082	578.240	666.865	 1.254	 2.100	 1.721	 0.802
7	30.669	52.263	44955.968	618.634	1712.646	 1.839	 2.271	 1.328	 0.587
7	68.936	218.026	144125.486	630.824	1178.494	 3.868	 5.032	 1.908	 0.640
7	120.341	333.756	54489.675	558.698	764.803	 2.987	 3.796	 1.555	 0.617
7	287.028	266.187	31265.357	620.541	1613.274	 1.385	 2.226	 2.683	 0.783
8	30.004	52.454	43201.949	628.676	2721.415	 1.467	 1.722	 0.382	 0.524
8	69.400	217.813	106589.365	702.042	1360.340	 3.358	 3.713	 1.402	 0.427
8	119.892	334.730	44585.463	609.338	937.668	 2.722	 2.780	 0.279	 0.202
8	139.459	402.045	8996.610	508.232	540.402	 1.431	 1.851	 1.224	 0.634
8	284.667	266.806	11243.555	597.322	660.932	 1.516	 1.786	 1.573	 0.529
9	28.610	50.103	42984.365	588.508	1825.323	 1.789	 2.095	 1.843	 0.520
9	59.359	221.953	50993.732	849.931	3888.340	 1.321	 1.581	 2.021	 0.549
9	68.578	218.240	323445.390	220.687	1636.369	 5.210	 6.039	 1.903	 0.506
9	119.513	334.966	43945.954	638.129	1683.031	 1.930	 2.153	 0.576	 0.444
9	282.958	269.688	20930.734	574.627	590.979	 1.564	 3.603	 2.310	 0.901
10	28.802	52.005	52736.749	632.032	2566.544	 1.658	 1.972	 3.068	 0.541
10	58.973	221.928	84243.589	848.532	5972.930	 1.390	 1.615	 1.751	 0.509
10	68.898	218.713	304315.423	339.729	1361.814	 5.567	 6.389	 1.693	 0.491
10	69.289	218.538	232647.959	396.157	1367.263	 4.956	 5.465	 1.567	 0.421
10	120.317	334.458	59984.442	589.154	1153.782	 2.847	 2.906	 0.519	 0.200
10	285.435	273.132	23153.383	538.392	951.658	 1.778	 2.178	 1.085	 0.578
11	25.744	53.664	56848.955	656.817	2602.720	 1.766	 1.969	 1.755	 0.443
11	59.132	221.917	80519.638	888.410	5990.775	 1.440	 1.485	 1.410	 0.243
11	69.468	218.418	221869.703	399.883	1406.090	 4.556	 5.512	 0.399	 0.563
11	119.961	333.726	60307.845	605.777	1707.133	 2.218	 2.535	 1.339	 0.484
12	25.380	53.318	62093.915	612.546	3401.303	 1.674	 1.736	 0.499	 0.266
